 INFO  Accepting connections at http://localhost:3000
 HTTP  6/2/2026 6:50:45 PM ::1 GET /case-study.css?v=18
 HTTP  6/2/2026 6:50:45 PM ::1 Returned 304 in 1 ms
 HTTP  6/2/2026 6:50:45 PM ::1 GET /projects-data.js?v=5
 HTTP  6/2/2026 6:50:45 PM ::1 Returned 304 in 2 ms
 HTTP  6/2/2026 6:50:45 PM ::1 Returned 304 in 1 ms
 HTTP  6/2/2026 6:50:45 PM ::1 GET /components/animations.jsx?v=2
 HTTP  6/2/2026 6:50:45 PM ::1 Returned 304 in 1 ms
 HTTP  6/2/2026 6:50:45 PM ::1 GET /nav/nav.jsx?v=4
 HTTP  6/2/2026 6:50:45 PM ::1 Returned 304 in 0 ms
 HTTP  6/2/2026 6:50:45 PM ::1 GET /components/header.jsx?v=2
 HTTP  6/2/2026 6:50:45 PM ::1 GET /components/footer.jsx?v=6
 HTTP  6/2/2026 6:50:45 PM ::1 Returned 304 in 1 ms
 HTTP  6/2/2026 6:50:45 PM ::1 GET /case-study.jsx?v=11
 HTTP  6/2/2026 6:50:45 PM ::1 Returned 304 in 1 ms
 HTTP  6/2/2026 6:50:45 PM ::1 Returned 304 in 0 ms
 HTTP  6/2/2026 6:50:45 PM ::1 GET /components/cookie-banner.jsx?v=7
 HTTP  6/2/2026 6:50:45 PM ::1 Returned 304 in 0 ms
 HTTP  6/2/2026 6:50:45 PM ::1 GET /design-system/assets/icons/behance.svg
 HTTP  6/2/2026 6:50:45 PM ::1 GET /design-system/assets/icons/linkedin.svg
 HTTP  6/2/2026 6:50:45 PM ::1 GET /design-system/assets/avatar.jpg
 HTTP  6/2/2026 6:50:45 PM ::1 Returned 304 in 0 ms
 HTTP  6/2/2026 6:50:45 PM ::1 Returned 304 in 1 ms
 HTTP  6/2/2026 6:50:45 PM ::1 Returned 304 in 1 ms
 HTTP  6/2/2026 6:50:45 PM ::1 GET /design-system/fonts/BDOGrotesk-Regular.woff2
 HTTP  6/2/2026 6:50:45 PM ::1 GET /design-system/assets/caccaro-design-concept/cr.jpg
 HTTP  6/2/2026 6:50:45 PM ::1 GET /design-system/assets/caccaro-design-concept/g-01.jpg
 HTTP  6/2/2026 6:50:45 PM ::1 Returned 304 in 1 ms
 HTTP  6/2/2026 6:50:45 PM ::1 Returned 304 in 1 ms
 HTTP  6/2/2026 6:50:45 PM ::1 GET /design-system/fonts/BDOGrotesk-DemiBold.woff2
 HTTP  6/2/2026 6:50:45 PM ::1 GET /design-system/fonts/BDOGrotesk-Bold.woff2
 HTTP  6/2/2026 6:50:45 PM ::1 Returned 304 in 0 ms
 HTTP  6/2/2026 6:50:45 PM ::1 GET /design-system/fonts/BDOGrotesk-Medium.woff2
 HTTP  6/2/2026 6:50:45 PM ::1 Returned 304 in 1 ms
 HTTP  6/2/2026 6:50:45 PM ::1 GET /design-system/assets/mealmate/cr.webp
 HTTP  6/2/2026 6:50:45 PM ::1 GET /design-system/assets/footer-bg.jpg
 HTTP  6/2/2026 6:50:45 PM ::1 Returned 304 in 2 ms
 HTTP  6/2/2026 6:50:45 PM ::1 Returned 304 in 1 ms
 HTTP  6/2/2026 6:50:45 PM ::1 Returned 304 in 1 ms
 HTTP  6/2/2026 6:50:45 PM ::1 Returned 200 in 3 ms
 HTTP  6/2/2026 6:50:45 PM ::1 GET /design-system/assets/caccaro-design-concept/g-02.jpg
 HTTP  6/2/2026 6:50:45 PM ::1 Returned 200 in 9 ms
 HTTP  6/2/2026 7:00:21 PM ::1 GET /case-study?project=caccaro-design-concept
 HTTP  6/2/2026 7:00:21 PM ::1 Returned 200 in 1 ms
 HTTP  6/2/2026 7:00:21 PM ::1 GET /design-system/colors_and_type.css?v=4
 HTTP  6/2/2026 7:00:21 PM ::1 GET /case-study.css?v=19
 HTTP  6/2/2026 7:00:21 PM ::1 Returned 304 in 1 ms
 HTTP  6/2/2026 7:00:21 PM ::1 GET /design-system/portfolio.css?v=25
 HTTP  6/2/2026 7:00:21 PM ::1 GET /nav/nav.css?v=6
 HTTP  6/2/2026 7:00:21 PM ::1 Returned 304 in 0 ms
 HTTP  6/2/2026 7:00:21 PM ::1 GET /projects-data.js?v=5
 HTTP  6/2/2026 7:00:21 PM ::1 Returned 304 in 0 ms
 HTTP  6/2/2026 7:00:21 PM ::1 Returned 304 in 1 ms
 HTTP  6/2/2026 7:00:21 PM ::1 Returned 200 in 2 ms
 HTTP  6/2/2026 7:00:21 PM ::1 GET /components/animations.jsx?v=2
 HTTP  6/2/2026 7:00:21 PM ::1 GET /nav/nav.jsx?v=4
 HTTP  6/2/2026 7:00:21 PM ::1 GET /components/header.jsx?v=2
 HTTP  6/2/2026 7:00:21 PM ::1 Returned 304 in 1 ms
 HTTP  6/2/2026 7:00:21 PM ::1 Returned 304 in 1 ms
 HTTP  6/2/2026 7:00:21 PM ::1 GET /components/footer.jsx?v=6
 HTTP  6/2/2026 7:00:21 PM ::1 Returned 304 in 1 ms
 HTTP  6/2/2026 7:00:21 PM ::1 GET /case-study.jsx?v=11
 HTTP  6/2/2026 7:00:21 PM ::1 GET /components/cookie-banner.jsx?v=7
 HTTP  6/2/2026 7:00:21 PM ::1 Returned 304 in 1 ms
 HTTP  6/2/2026 7:00:21 PM ::1 Returned 304 in 1 ms
 HTTP  6/2/2026 7:00:21 PM ::1 GET /design-system/assets/site-icon.png
 HTTP  6/2/2026 7:00:21 PM ::1 Returned 304 in 1 ms
 HTTP  6/2/2026 7:00:21 PM ::1 Returned 304 in 1 ms
 HTTP  6/2/2026 7:00:22 PM ::1 GET /design-system/assets/avatar.jpg
 HTTP  6/2/2026 7:00:22 PM ::1 GET /design-system/assets/caccaro-design-concept/cr.jpg
 HTTP  6/2/2026 7:00:22 PM ::1 Returned 304 in 1 ms
 HTTP  6/2/2026 7:00:22 PM ::1 Returned 304 in 1 ms
 HTTP  6/2/2026 7:00:22 PM ::1 GET /design-system/assets/caccaro-design-concept/g-01.jpg
